Open Date,Request Count,Day,Residuals,Anomaly
2009-07-02,1701,271,800.9410927941451,1
2009-07-06,1983,275,751.3347001000811,1
2009-08-29,422,329,-845.9248432789142,1
2009-12-14,2253,436,1233.9568005567023,1
2010-03-15,2413,527,1348.7140608306747,1
2010-08-23,2512,688,1457.4194489585286,1
2010-10-27,2504,753,1393.921366766748,1
2010-12-13,2336,800,1275.1873028398072,1
2011-03-14,2451,891,1322.4512297804467,1
2011-04-07,1843,915,888.5515037530495,1
2011-08-29,2514,1059,1295.5272115156063,1
2011-12-13,2083,1165,1096.433878182273,1
2012-08-28,2854,1424,1386.475156721086,1
2012-08-29,2733,1425,1364.3631932507662,1
2012-10-09,2590,1466,1479.8769832051044,1
2012-10-10,2453,1467,1338.0768005567024,1
2012-10-11,2412,1468,1227.596252611497,1
2012-12-11,2353,1529,1074.59059051104,1
2013-03-12,2843,1620,1494.3029192781637,1
2013-05-21,2436,1690,1182.5257503283917,1
2013-08-27,2918,1788,1335.3588096891224,1
2013-12-11,2585,1894,1276.7303165384374,1
2014-01-08,2393,1922,1142.792964940264,1
2014-03-18,2859,1991,1393.6800882279351,1
2014-03-19,2582,1992,1153.380362200538,1
2014-08-26,2702,2152,1267.8196316069307,1
2014-10-22,3113,2209,1804.90858137862,1
2015-03-17,3010,2355,1719.4989010133231,1
2015-03-18,2517,2356,1242.1787183649215,1
2015-08-25,2895,2516,1539.438261743917,1
2015-12-21,2067,2634,970.3220973603552,1
2016-01-18,5188,2662,3754.1418233877525,1
2016-02-12,2121,2687,1010.2086727028212,1
2016-03-15,2592,2719,1170.5659329767936,1
2016-08-30,3045,2887,1396.2185357165197,1
2016-08-31,3027,2888,1531.0196316069307,1
2016-09-14,2804,2902,1342.720088227935,1
2016-12-13,2586,2992,1170.9093119722272,1
2016-12-14,2461,2993,1119.3710471320446,1
2019-01-30,2235,3770,1133.613969506474,1
2019-02-12,2160,3783,1160.8578051229124,1
2019-04-04,71,3834,-1161.2645693063116,1
2019-04-21,42,3851,-1128.2651172515168,1
2019-10-11,2974,4024,1713.2095859448302,1
2019-10-15,2365,4028,1217.0735128854694,1
2019-10-16,2203,4029,1036.5754306936888,1
2022-01-21,1815,4857,907.5993576343279,1
2022-02-25,1778,4892,893.7767092325015,1
2022-03-17,2195,4912,1007.3584443923189,1
2022-03-18,2260,4913,1035.4338781822732,1
2023-03-30,1705,5290,807.9334215612686,1
2023-04-10,1772,5301,793.338170419716,1
2023-04-11,2149,5302,1073.9807274973416,1
2023-09-12,1977,5456,820.4758873146933,1
2024-03-10,41,5636,-1025.3299574341654,1
