Water and Waste,1626680
Public Works,1057554
Mynarski_W,358857
Point Douglas_W,269779
Fort Rouge - East Fort Garry_W,263308
Daniel McIntyre_W,261389
Community Services,256231
St. James_W,253692
River Heights - Fort Garry_W,241244
St. Vital_W,236529
Transcona_W,228870
St. Boniface_W,228457
Elmwood - East Kildonan_W,226855
Charleswood - Tuxedo - Westwood_W,215892
North Kildonan_W,195498
Assessment and Taxation,194462
St. Norbert - Seine River_W,188971
Parking Authority,171765
Old Kildonan_W,170274
Waverley West_W,165922
Missed Garbage Collection Deficiency,149526
Request for Bulky Pick Up - 10 Items,147883
Carts Damaged By Collection Crews,126850
Missed Recycling Collection Deficiency,119890
Housing Complaint - Yard and Accessory Buildings,119859
Animal Services Agency,100553
Parking Infraction Report,92341
William Whyte_N,75202
Mynarski_W,Water and Waste,165532
Missed Garbage Collection Deficiency,Water and Waste,149526
Request for Bulky Pick Up - 10 Items,Water and Waste,147883
Carts Damaged By Collection Crews,Water and Waste,126850
Daniel McIntyre_W,Water and Waste,124809
Missed Recycling Collection Deficiency,Water and Waste,119890
Community Services,Housing Complaint - Yard and Accessory Buildings,119859
Point Douglas_W,Water and Waste,118180
River Heights - Fort Garry_W,Water and Waste,113639
Transcona_W,Water and Waste,112049
St. James_W,Water and Waste,111956
St. Vital_W,Water and Waste,110173
St. Boniface_W,Water and Waste,109241
Elmwood - East Kildonan_W,Water and Waste,106664
Charleswood - Tuxedo - Westwood_W,Water and Waste,106556
Fort Rouge - East Fort Garry_W,Water and Waste,104026
St. Norbert - Seine River_W,Water and Waste,96506
Parking Authority,Parking Infraction Report,92341
North Kildonan_W,Water and Waste,91816
Public Works,St. James_W,91630
Fort Rouge - East Fort Garry_W,Public Works,85178
Public Works,St. Vital_W,80494
Water and Waste,Waverley West_W,80474
Public Works,River Heights - Fort Garry_W,79890
Mynarski_W,Public Works,79857
Mynarski_W,William Whyte_N,75202
Old Kildonan_W,Water and Waste,75059
Point Douglas_W,Public Works,74395
Public Works,St. Boniface_W,72535
Charleswood - Tuxedo - Westwood_W,Public Works,70930
Public Works,Transcona_W,70159
